assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,player,Involved
0,2,27,1,33.2,457,0.13,0.13,0.0,0.68,0,0,5.8,22.6,90,0,0,0,0,0,146572,1,1,0,2.0,8,980,3019,47,0,Aaron_Cresswell_457,1
0,0,7,0,39.1,457,0.08,0.12,0.04,2.82,2,0,6.2,13.6,90,0,0,0,0,0,148074,1,2,2,9.0,0,2852,1612,47,1,Aaron_Cresswell_457,1
1,3,37,1,26.9,457,0.26,0.3,0.04,1.14,0,0,5.5,23.6,90,0,0,0,0,0,161445,1,4,0,4.0,12,9907,1685,47,0,Aaron_Cresswell_457,1
0,0,11,0,19.3,457,0.08,0.08,0.0,2.0,2,0,2.8,8.4,90,0,0,0,0,0,172331,1,2,1,0.0,1,20119,4562,47,0,Aaron_Cresswell_457,1
0,0,6,0,1.1,457,0.0,0.0,0.0,1.09,1,0,1.4,12.6,45,0,0,0,0,0,191554,0,3,4,0.0,1,18186,4991,47,0,Aaron_Cresswell_457,1
0,0,14,0,2.8,457,0.01,0.01,0.0,2.32,3,0,1.0,6.8,90,0,0,0,0,0,191554,1,0,3,0.0,1,18186,4991,47,0,Aaron_Cresswell_457,1
0,0,25,1,15.7,457,0.01,0.01,0.0,1.19,0,0,2.6,10.6,90,0,0,0,0,0,178596,1,0,1,0.0,6,2068,9146,47,0,Aaron_Cresswell_457,1
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,178817,0,0,2,0.0,0,4577,4650,47,0,Aaron_Cresswell_457,0
0,0,0,0,0.0,457,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,177114,0,1,3,0.0,0,4350,5924,47,0,Aaron_Cresswell_457,0
0,0,10,0,0.0,457,0.01,0.01,0.0,1.39,2,0,0.0,0.0,70,0,0,0,0,0,176161,1,1,2,0.0,1,2656,3682,47,0,Aaron_Cresswell_457,1
0,0,8,0,2.2,510,0.01,0.01,0.0,0.52,2,0,0.4,1.8,83,0,0,0,0,0,25558,1,2,2,0.0,1,0,0,50,0,Aaron_Hickey_510,1
0,0,19,1,2.2,510,0.04,0.06,0.02,0.74,0,0,3.2,8.8,79,0,0,0,0,0,27731,1,0,4,21.0,6,1542,3040,50,0,Aaron_Hickey_510,1
0,0,3,0,0.3,510,0.0,0.0,0.0,1.47,2,0,0.2,2.0,59,0,0,0,0,0,42584,1,2,3,0.0,0,11646,3681,50,0,Aaron_Hickey_510,1
