player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_in,transfers_out,value,yellow_cards,Involved
Brenden_Aaronson_246,246,4,0,232,5,662.6,2.51,6.49,3.9800000000000004,48.74,58,1,141.1,306.0,2365,0,0,0,0,0,96931.5,28,59,67,439.0,83,230800,245159,2057,2,36
Brennan_Johnson_394,394,5,15,384,7,373.6,2.0,10.39,8.39,53.79,54,8,157.4,478.2,2930,0,2,0,0,0,171955.5,33,35,71,729.0,122,666539,710370,2171,6,38
Brice_Samba_382,382,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,172.6578947368421,0,35,71,0.0,0,0,193,1710,0,0
Bruno_Borges Fernandes_333,333,9,23,748,18,1532.3,10.7,20.03,9.33,49.13,39,8,343.1,948.0,3317,0,0,0,0,0,715250.7631578947,37,32,69,948.0,176,6111191,2085504,3695,6,37
Bruno_Guimarães Rodriguez Moura_374,374,5,5,438,12,631.8,3.72,6.54,2.82,29.82,25,4,153.6,617.6,2727,0,0,0,0,0,414716.5263157895,32,46,55,284.0,107,866020,1453094,2138,7,32
Bryan_Gil Salvatierra_554,554,1,0,22,1,27.5,0.08,0.18,0.1,0.9,1,0,8.5,30.400000000000002,146,0,0,0,0,0,3260.2105263157896,2,58,75,27.0,9,13464,10672,1900,1,4
Bryan_Mbeumo_95,95,9,19,556,10,766.3,5.53,15.01,9.48,41.96,39,9,229.3,662.4,2905,0,0,0,0,0,323621.8157894737,36,41,63,866.0,150,1609202,1357945,2223,5,38
Bukayo_Saka_13,13,12,19,678,12,1091.8,5.97,17.46,11.49,39.66,42,14,322.8,972.2,3183,0,1,0,0,0,2823975.789473684,37,60,71,1164.0,202,7001846,5528928,3098,6,38
Callum_Hudson-Odoi_144,144,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,4344.921052631579,0,37,48,0.0,0,1884,9497,2018,0,0
Callum_Wilson_356,356,6,20,526,10,271.0,2.11,18.54,16.43,21.93,16,18,200.4,720.0,1870,0,0,0,0,0,563508.447368421,21,46,55,1020.0,157,5180281,2826304,2725,4,31
Calum_Chambers_32,32,0,0,67,0,29.8,0.19,0.33,0.14,5.88,4,0,11.1,74.4,345,0,0,0,0,0,19305.36842105263,2,39,58,8.0,13,11163,26553,1618,2,14
Calvin_Ramsay_298,298,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,23040.13157894737,0,46,76,0.0,0,26784,40025,1486,0,0
Cameron_Archer_54,54,0,0,13,0,2.4,0.01,0.01,0.0,0.37,1,0,0.9,1.7999999999999998,43,0,0,0,0,0,307507.65789473685,0,39,58,6.0,6,331533,825299,1621,0,6
Cameron_Peupion_762,762,0,0,3,0,0.3,0.0,0.06,0.06,0.95,2,0,0.5,0.0,5,0,0,0,0,0,55.125,0,12,18,5.0,1,219,55,360,0,1
Cameron_Plain_649,649,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1625.8076923076924,0,34,39,0.0,0,3739,3028,1040,0,0
Caoimhin_Kelleher_289,289,0,0,20,0,0.0,0.0,0.0,0.0,1.77,4,0,0.0,0.0,90,0,0,0,0,6,18574.657894736843,1,46,76,0.0,2,16851,21729,1518,0,1
