player,element,assists,bonus,bps,clean_sheets,creativity,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,goals_conceded,goals_scored,ict_index,influence,minutes,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,starts,threat,total_points,transfers_in,transfers_out,yellow_cards,Involved,price_start,price_end,profit_or_loss,Net Transfers,90s completed,expected_assists_per90,expected_goal_involvements_per90,expected_goals_per90,expected_goals_conceded_per90,goals_per_90,goals_conceded_per_90,saves_per_90,assists_per_90,bonus_points_per_90
Romaine Mundle,748,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,115.0,0,0.0,0,196,122,0,0,£4.5,£4.5,£0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roméo Lavia,321,1,0,317,4,247.1,0.62,1.04,0.42000000000000004,41.72,50,1,64.2,344.8,2219,0,0,0,0,0,27290.0,26,46.0,57,89978,94652,9,29,£4.5,£4.5,£0.0,-4674,24.655555555555555,0.025146462370437134,0.04218116268589455,0.017034700315457417,1.6921135646687697,0.040558810274898605,2.0279405137449302,0.0,0.040558810274898605,0.0
Ross Barkley,131,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,3477.0,0,0.0,0,1910,5892,0,0,£5.0,£4.9,£-0.1,-3982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruben Loftus-Cheek,136,1,1,228,5,234.8,1.75,2.6,0.85,27.57,23,0,61.599999999999994,206.6,1530,1,0,0,0,0,14821.0,19,173.0,46,35607,37707,1,25,£5.0,£5.0,£0.0,-2100,17.0,0.10294117647058823,0.15294117647058825,0.049999999999999996,1.621764705882353,0.0,1.3529411764705883,0.0,0.058823529411764705,0.058823529411764705
Ryan Bertrand,250,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,2872.0,0,0.0,0,4500,6031,0,0,£4.0,£3.9,£-0.1,-1531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Christie,69,2,2,225,3,421.7,2.07,4.96,2.8899999999999997,30.87,35,1,110.5,282.0,1825,0,0,0,0,0,5868.0,22,400.0,64,8671,12626,2,32,£5.5,£5.3,£-0.2,-3955,20.27777777777778,0.10208219178082191,0.2446027397260274,0.14252054794520547,1.5223561643835617,0.049315068493150684,1.726027397260274,0.0,0.09863013698630137,0.09863013698630137
Ryan Finnigan,648,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,265.0,0,0.0,0,565,549,0,0,£4.5,£4.5,£0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fraser,359,0,0,39,1,74.0,0.25,0.56,0.31000000000000005,3.34,3,0,17.2,26.8,308,0,0,0,0,0,8433.0,3,70.0,11,11520,23624,1,8,£5.5,£5.2,£-0.3,-12104,3.422222222222222,0.07305194805194806,0.16363636363636366,0.0905844155844156,0.9759740259740259,0.0,0.8766233766233766,0.0,0.0,0.0
Ryan Fredericks,59,0,0,63,0,26.7,0.29000000000000004,0.29000000000000004,0.0,10.14,11,0,10.6,66.0,527,0,0,0,0,0,2735.0,5,12.0,12,3482,6158,1,12,£4.5,£4.4,£-0.1,-2676,5.855555555555555,0.04952561669829223,0.04952561669829223,0.0,1.73168880455408,0.0,1.8785578747628084,0.0,0.0,0.0
Ryan Sessegnon,436,1,0,121,1,103.0,1.1,2.74,1.64,10.48,15,2,54.3,148.6,805,0,0,0,0,0,92225.0,9,290.0,35,259569,311290,4,17,£4.5,£4.4,£-0.1,-51721,8.944444444444445,0.12298136645962733,0.3063354037267081,0.18335403726708074,1.1716770186335403,0.2236024844720497,1.6770186335403727,0.0,0.11180124223602485,0.0
Ryan Trevitt,632,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,747.0,0,0.0,0,2473,2051,0,0,£4.5,£4.4,£-0.1,422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Yates,387,3,0,177,5,97.3,0.43,2.42,1.99,29.34,36,0,53.1,206.8,1833,0,0,0,0,0,4010.0,21,233.0,53,7026,10072,5,26,£5.0,£5.0,£0.0,-3046,20.366666666666667,0.021112929623567922,0.1188216039279869,0.09770867430441899,1.4405891980360066,0.0,1.7675941080196398,0.0,0.14729950900163666,0.0
Rúben Gato Alves Dias,312,0,1,432,9,83.7,0.34,1.7,1.36,17.36,16,0,62.5,416.8,1997,0,0,0,0,0,842335.0,22,124.0,80,1172089,1482421,3,26,£6.0,£6.0,£0.0,-310332,22.18888888888889,0.015322984476715073,0.07661492238357535,0.06129193790686029,0.7823735603405108,0.0,0.7210816224336505,0.0,0.0,0.045067601402103155
Rúben Nascimento Vinagre,531,0,0,9,0,1.4000000000000001,0.0,0.0,0.0,0.31,0,0,0.8999999999999999,7.6,24,0,0,0,0,0,5269.0,0,0.0,2,1988,5951,0,2,£4.5,£4.3,£-0.2,-3963,0.26666666666666666,0.0,0.0,0.0,1.1625,0.0,0.0,0.0,0.0,0.0
Rúben da Silva Neves,480,2,16,558,10,474.7,1.57,6.76,5.19,51.21,48,6,161.0,788.8,3020,0,0,0,0,0,212595.0,33,347.0,118,819980,676836,12,35,£5.5,£5.2,£-0.3,143144,33.55555555555556,0.046788079470198675,0.20145695364238408,0.15466887417218544,1.5261258278145695,0.17880794701986755,1.4304635761589404,0.0,0.059602649006622516,0.4768211920529801
Salomón Rondón,177,0,0,12,0,26.099999999999998,0.14,0.93,0.79,2.8,2,0,7.3,7.4,103,0,0,0,0,0,44781.0,1,41.0,7,100632,115096,0,7,£5.0,£4.9,£-0.1,-14464,1.1444444444444444,0.12233009708737866,0.812621359223301,0.6902912621359224,2.4466019417475726,0.0,1.7475728155339807,0.0,0.0,0.0
